symbol,ticker,news_ts,text,source,url,price_t0,price_texit,ret,label
EURJPY,EURJPY=X,2025-10-16 02:51:49+00:00,BOJ’s Most Hawkish Member Calls for Rate Hike Amid Price Risks -,Biztoc.com,https://biztoc.com/x/94f922ff4dd8e283,175.9409942626953,176.22300720214844,0.0016028836294516727,2
EURJPY,EURJPY=X,2025-10-16 02:53:15+00:00,"Skating stars Malinin, Sakamoto begin quest for Olympic gold in France - US figure skater Ilia Malinin and Japan's Kaori Sakamoto headline the Olympic season opener at the elite ISU Grand Prix de France in Angers starting Friday, looking to lay the groundwork for gold at the Milan-Cortina Winter Games.The first of the six-stop ISU…",Yahoo Entertainment,https://sports.yahoo.com/article/skating-stars-malinin-sakamoto-begin-025315505.html,175.9409942626953,176.22300720214844,0.0016028836294516727,2
EURJPY,EURJPY=X,2025-10-16 02:56:00+00:00,"Japan’s Kato calls for G7 unity over China’s rare earth curbs - ""Japan is deeply concerned about these measures,” Kato told reporters in Washington on Wednesday, referring to China’s latest trade measures.",The Japan Times,https://www.japantimes.co.jp/business/2025/10/16/economy/japan-finance-minister-china-rare-earth/,175.9409942626953,176.22300720214844,0.0016028836294516727,2
EURJPY,EURJPY=X,2025-10-16 02:57:08+00:00,"Skating Stars Malinin, Sakamoto Begin Quest For Olympic Gold In France - US figure skater Ilia Malinin and Japan's Kaori Sakamoto headline the Olympic season opener at the elite ISU Grand Prix de France in Angers starting Friday, looking to lay the groundwork for gold at the Milan-Cortina Winter Games.",International Business Times,https://www.ibtimes.com/skating-stars-malinin-sakamoto-begin-quest-olympic-gold-france-3787231,175.9409942626953,176.22300720214844,0.0016028836294516727,2
EURJPY,EURJPY=X,2025-10-16 02:57:21+00:00,"South Korean presidential policy chief says 'optimistic' about US tariff talks - SEOUL (Reuters) -South Korea's chief presidential policy adviser said on Thursday he was ""optimistic"" about ongoing talks to finalise a trade deal with the U...",Yahoo Entertainment,https://finance.yahoo.com/news/south-korean-presidential-policy-chief-025721955.html,175.9409942626953,176.22300720214844,0.0016028836294516727,2
EURJPY,EURJPY=X,2025-10-16 03:00:00+00:00,"外国人雇用の裏側で進む “住まい手配の負担増”。雇用企業と登録支援機関を支える「Welcome Nest Japan」稼働中 - [HaruNest合同会社]
[画像1: https://prcdn.freetls.fastly.net/release_image/171094/2/171094-2-308f26d69c877fe84553a87434df8cbb-1000x500.png?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&amp...",Prtimes.jp,https://prtimes.jp/main/html/rd/p/000000002.000171094.html,175.9409942626953,176.22300720214844,0.0016028836294516727,2
EURJPY,EURJPY=X,2025-10-16 03:07:30+00:00,"Ransomware Surge Forces Firms to Prepare for Inevitable Breaches - The escalating wave of cyberattacks targeting Japanese companies is forcing a shift in corporate security strategies, with experts warning that preventing intrusions entirely is no longer realistic and that minimizing damage after a breach has become the new …",Newsonjapan.com,https://newsonjapan.com/article/147297.php,176.05299377441406,176.3249969482422,0.0015450073753170987,2
EURJPY,EURJPY=X,2025-10-16 03:21:14+00:00,"S T A L K E R 2 Heart of Chornobyl Update v1.6.1-RUNE - Read changelog.txt for information on updated content! Genre: Action, Adventure, RPGDeveloper: GSC Game WorldPublisher: GSC Game World (worldwide), SEGA (Japan), 4divinity (China and South East Asia) Release Name: S.T.A.L.K.E.R.2.Heart.of.Chornobyl.Update.v1.…",Rlsbb.to,https://post.rlsbb.to/s-t-a-l-k-e-r-2-heart-of-chornobyl-update-v1-6-1-rune/,176.05299377441406,176.3249969482422,0.0015450073753170987,2
EURJPY,EURJPY=X,2025-10-16 03:26:00+00:00,"US drops out of world's 10 most powerful passports list for first time in 20 years - The American passport now ranks 12th on the Henley Passport Index, tying with Malaysia.",CNA,https://www.channelnewsasia.com/world/us-drops-out-worlds-10-most-powerful-passports-first-time-in-20-years-henley-index-5405551,176.05299377441406,176.3249969482422,0.0015450073753170987,2
EURJPY,EURJPY=X,2025-10-16 03:31:18+00:00,YouTube says it has restored service after global streaming disruptions - YouTube users reported problems streaming content and accessing the app for about 60 minutes.,Al Jazeera English,https://www.aljazeera.com/news/2025/10/16/youtube-says-it-has-restored-service-after-global-streaming-disruptions,176.05299377441406,176.3249969482422,0.0015450073753170987,2
